,0
0,5.0
1,4.0
2,3.0
3,3.0
4,5.0
5,5.0
6,4.0
7,2.0
8,4.0
9,2.0
10,3.0
11,7.0
12,6.0
13,4.0
14,2.0
15,3.0
16,4.0
17,4.0
18,3.0
19,2.0
